words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Methylobacterium	0.00012647	0.00364945	0.00000000	0.00007042	0.00011209	39.16135256	0.01298409	0.00000000	0.00850574	0.00001264	0.00001196	0.00000051	0.00053637	0.00009247	0.00040388	0.00017534	0.00001302	0.01556865	0.00013426	0.00003916
Pseudomonas	0.00009026	0.00675348	0.00004912	0.00003973	0.00008046	16.90156549	0.00000236	0.00000000	0.00139514	0.00000598	0.00000000	0.00000056	0.00032276	0.00015374	0.00036163	0.00005038	0.00002077	0.01177392	0.00018456	0.00028107
Desulfovibrio	0.00000000	0.00000000	0.00001483	0.00000000	0.00228198	0.00000000	0.00000000	0.00000000	0.00000000	0.63859033	0.00000000	0.00000000	0.00000000	0.00063777	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Anaerosinus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000135	0.00000000	7328.22104218	0.00000114	0.00002876
Bifidobacterium	0.00000000	0.00000000	0.00001792	0.00000216	0.00000000	0.00000031	0.00000000	0.00043006	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	181.97929591	0.00000076	0.00000000	0.00000000	0.00000113	0.00000780
Coprococcus	0.00000961	0.00000000	222.85245174	0.00000000	0.00000000	0.00000000	0.00000145	0.00000000	0.00000000	0.00000000	0.00001391	0.00000000	0.00000097	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00009850	0.00000456
Clostridium XIX	0.00117061	0.04401301	0.00006464	0.00004076	0.00255880	0.00000001	0.00000456	0.00000000	0.00000000	0.00000269	0.00007966	0.00000127	0.00053987	0.00000000	0.00009364	0.00005010	0.00000210	114.97076483	0.00326396	0.00001807
Bradyrhizobium	0.00015235	0.00000006	0.00000000	0.00076929	0.00000000	0.00000000	0.00000000	0.00000000	0.00342724	0.00003132	0.00000000	0.16315369	0.00019539	122.31922186	0.00000000	0.00000027	0.00000000	0.00000000	0.00000000	0.00000000
Howardella	0.00000000	0.00000000	0.00000270	0.00000109	0.00103522	0.00000001	0.00000489	0.07139095	0.00000000	0.00000000	0.00000000	0.00000314	0.00000026	0.00000018	0.00000000	0.00000031	0.00000000	0.00096727	0.00000000	0.00003975
Pseudoramibacter	0.00000000	0.00000000	0.00000653	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	12.43936094	0.00000000	0.00001716	0.00000000	0.00000000	0.00000000	0.08416908	0.00000017	0.00000000
Olsenella	0.00000000	0.00080163	0.00000000	0.00000052	0.00071431	0.00000031	0.00000000	0.00000001	0.00000000	0.00000000	0.00000000	0.00000250	0.00000000	0.00000001	0.00019271	0.00000000	0.00000050	0.00000000	0.00000012	0.00000000
Streptobacillus	0.00000000	0.00000000	0.00005646	0.00000000	0.00001779	0.00000000	0.00000080	0.00000000	0.00338997	0.00000062	0.00000000	0.00000000	210.53339926	0.00000000	0.00000000	0.00000004	0.00000000	0.00000000	0.00000239	0.00000000
Erysipelotrichaceae_incertae_sedis	0.00000000	0.00000000	0.00000000	0.00000000	0.00006432	0.00000000	0.00000000	17273.98107588	0.00000000	0.00000000	0.00000000	0.00000013	0.00000000	0.00002999	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Ureaplasma	0.00000000	0.00000000	0.00000000	35.67548396	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00897601	0.00000035	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
