STEP	ISD
1230	45310.92543376
1231	45310.92543205
1232	45310.92543035
1233	45310.92542867
1234	45310.92542699
1235	45310.92542532
1236	45310.92542367
1237	45310.92542202
1238	45310.92542039
1239	45310.92541877
1240	45310.92541715
1241	45310.92541555
1242	45310.92541396
1243	45310.92541238
1244	45310.92541080
1245	45310.92540924
1246	45310.92540769
1247	45310.92540615
1248	45310.92540461
1249	45310.92540309
1250	45310.92540158
1251	45310.92540007
1252	45310.92539858
1253	45310.92539710
1254	45310.92539562
1255	45310.92539415
1256	45310.92539270
1257	45310.92539125
1258	45310.92538981
1259	45310.92538838
1260	45310.92538696
1261	45310.92538555
1262	45310.92538415
1263	45310.92538275
1264	45310.92538137
1265	45310.92537999
1266	45310.92537862
1267	45310.92537726
1268	45310.92537591
1269	45310.92537457
1270	45310.92537324
1271	45310.92537191
1272	45310.92537059
1273	45310.92536928
1274	45310.92536798
1275	45310.92536669
1276	45310.92536540
1277	45310.92536413
1278	45310.92536286
1279	45310.92536160
1280	45310.92536034
1281	45310.92535909
1282	45310.92535786
1283	45310.92535662
1284	45310.92535540
1285	45310.92535419
1286	45310.92535298
1287	45310.92535178
1288	45310.92535058
1289	45310.92534940
1290	45310.92534822
1291	45310.92534704
1292	45310.92534588
1293	45310.92534472
1294	45310.92534357
1295	45310.92534243
1296	45310.92534129
1297	45310.92534016
1298	45310.92533904
1299	45310.92533792
1300	45310.92533681
1301	45310.92533571
1302	45310.92532920
1303	45310.92532813
1304	45310.92532706
1305	45310.92532601
1306	45310.92532495
1307	45310.92532391
1308	45310.92532287
1309	45310.92532183
1310	45310.92532081
1311	45310.92531979
1312	45310.92531877
1313	45310.92531776
1314	45310.92531676
1315	45310.92531576
1316	45310.92531477
1317	45310.92531379
1318	45310.92531281
1319	45310.92531184
1320	45310.92531087
1321	45310.92530991
1322	45310.92530895
1323	45310.92530800
1324	45310.92530706
1325	45310.92530612
1326	45310.92530519
1327	45310.92530426
1328	45310.92530334
1329	45310.92530242
1330	45310.92530151
1331	45310.92530060
1332	45310.92529970
1333	45310.92529880
1334	45310.92529791
1335	45310.92529703
1336	45310.92529068
1337	45310.92528983
1338	45310.92528898
1339	45310.92528813
1340	45310.92528729
1341	45310.92528646
1342	45310.92528562
1343	45310.92528480
1344	45310.92528398
1345	45310.92528316
1346	45310.92528235
1347	45310.92528154
1348	45310.92528074
1349	45310.92527994
1350	45310.92527915
1351	45310.92527836
1352	45310.92527758
1353	45310.92527680
1354	45310.92527602
1355	45310.92527526
1356	45310.92527449
1357	45310.92527373
1358	45310.92527297
1359	45310.92527222
1360	45310.92527147
1361	45310.92527073
1362	45310.92526999
1363	45310.92526926
1364	45310.92526852
1365	45310.92526780
1366	45310.92526708
1367	45310.92526636
1368	45310.92526564
1369	45310.92526493
1370	45310.92526423
1371	45310.92526353
1372	45310.92526109
1373	45310.92526036
1374	45310.92525967
1375	45310.92525898
1376	45310.92525830
1377	45310.92525763
1378	45310.92525695
1379	45310.92525629
1380	45310.92525562
1381	45310.92525496
1382	45310.92525431
1383	45310.92525365
1384	45310.92525300
1385	45310.92525236
1386	45310.92525172
1387	45310.92525108
1388	45310.92525044
1389	45310.92524981
1390	45310.92524919
1391	45310.92524856
1392	45310.92524794
1393	45310.92524733
1394	45310.92524671
1395	45310.92524610
1396	45310.92524550
1397	45310.92524489
1398	45310.92524478
1399	45310.92524418
1400	45310.92524359
1401	45310.92524300
1402	45310.92524242
1403	45310.92524183
1404	45310.92524126
1405	45310.92524068
1406	45310.92524011
1407	45310.92523954
1408	45310.92523897
1409	45310.92523841
1410	45310.92523785
1411	45310.92523730
1412	45310.92523674
1413	45310.92523619
1414	45310.92523565
1415	45310.92523510
1416	45310.92523456
1417	45310.92523402
1418	45310.92523349
1419	45310.92523295
1420	45310.92523242
1421	45310.92523190
1422	45310.92523137
1423	45310.92523085
1424	45310.92523034
1425	45310.92522982
1426	45310.92522931
1427	45310.92522880
1428	45310.92522829
1429	45310.92522779
1430	45310.92522729
1431	45310.92522679
1432	45310.92522629
1433	45310.92522580
1434	45310.92522531
1435	45310.92522482
1436	45310.92522434
1437	45310.92522385
1438	45310.92522337
1439	45310.92522290
1440	45310.92522242
1441	45310.92522195
1442	45310.92522148
1443	45310.92522101
1444	45310.92522055
1445	45310.92522009
1446	45310.92521963
1447	45310.92521917
1448	45310.92521872
1449	45310.92521826
1450	45310.92521781
